縣市,鄉鎮市區,路名,土地面積,使用分區,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,橫坐標,縱坐標,備註,主建物面積,陽台面積,附屬建物面積,單價
桃園市,平鎮區,中庸路,-0.618421104820399,,7,13,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),17.0,-0.4683173011189603,-0.8193256863726953,0.0,271007,2756216,,-0.4451296613937701,-0.3418507781981864,-0.1907751163382525,1.2079997328345549
台北市,士林區,中山北路七段,-0.136019448397967,,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),33.916666666666664,-0.2907849886916075,-0.8193256863726953,0.0,303912,2779315,,-0.0915155298372764,0.7416711641145498,-0.4384519028208025,2.543093853396339
新北市,新莊區,天祥街,-1.078615749956745,,13,18,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),5.083333333333333,-0.7061761274779373,-0.8193256863726953,0.0,292103,2768931,,-0.928308010752563,-1.1608909865605694,0.0910639855212011,2.0043716643977243
新北市,土城區,裕民路,-0.4598476627580631,,10,16,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),28.25,-0.2172440955178179,0.944839530491874,1.0,295953,2763944,,0.2411646451310728,-0.0517740377365089,-0.2975323518910757,2.0277943682672293
新北市,板橋區,文化路二段,-1.0768132328069002,,4,22,住家用,鋼骨造,住宅大樓(11層含以上有電梯),6.583333333333333,-0.4798080656773649,-0.8193256863726953,0.0,297388,2768742,,-0.7464089014799027,-0.1831617378279745,-0.4384519028208025,2.8944344114389136
台北市,內湖區,大湖山莊街,-0.3257163532476212,,3,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),40.833333333333336,-0.9313951128226692,-0.8193256863726953,0.0,310486,2775727,,-0.6148644445408871,-0.0312980325274495,-0.4384519028208025,2.379134926309804
新北市,林口區,南勢,1.071234437882006,,6,9,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),15.25,-0.1144017527200955,-0.8193256863726953,0.0,286189,2774245,,-0.1537516169912194,-0.4612941419177006,0.1465777480086693,1.676453810224655
高雄市,鼓山區,美術東二路,-0.4284598307887677,,8,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),17.833333333333332,0.0481925657813305,-0.0623721344780902,1.0,176810,2506059,,-0.2527635738270376,0.5181414405823159,-0.0818827360743726,1.4422267715296049
新北市,板橋區,中山路一段,-0.361334092128552,,3,4,住家用,加強磚造,公寓(5樓含以下無電梯),46.833333333333336,-1.156614098167401,-0.8193256863726953,0.0,297440,2767536,,-1.059286685081088,0.4396500872809207,-0.4384519028208025,2.1917532953537644
台北市,中正區,和平西路二段,0.9109546129178168,住,4,7,其他,鋼筋混凝土造,華廈(10層含以下有電梯),42.66666666666666,1.3753758722770724,-0.8193256863726953,0.0,301846,2768979,,2.45676934781144,4.089498015795791,-0.4384519028208025,3.0818160423949537
